#  L TT            EE            BB            TE            PP            PT            PE           
 114 1.2598219e+03 4.0488896e-01 1.0579966e-03 -9.6225815e+00 8.1285617e-08 4.5632683e-04 -3.3695726e-06
 115 1.2690756e+03 4.0780830e-01 1.0778145e-03 -9.8139266e+00 8.0711970e-08 4.5157857e-04 -3.4513408e-06
 116 1.2783849e+03 4.1073364e-01 1.0979225e-03 -1.0000816e+01 8.0143251e-08 4.4692664e-04 -3.5636797e-06
 117 1.2877480e+03 4.1363243e-01 1.1183105e-03 -1.0183393e+01 7.9579413e-08 4.4236576e-04 -3.7019063e-06
 118 1.2971557e+03 4.1649439e-01 1.1389677e-03 -1.0361803e+01 7.9020418e-08 4.3789070e-04 -3.8613404e-06
 119 1.3066133e+03 4.1929439e-01 1.1598831e-03 -1.0536339e+01 7.8466285e-08 4.3349618e-04 -4.0373036e-06
 120 1.3161190e+03 4.2201473e-01 1.1810452e-03 -1.0707145e+01 7.7916959e-08 4.2917698e-04 -4.2251199e-06
 121 1.3256709e+03 4.2463029e-01 1.2024423e-03 -1.0874366e+01 7.7372422e-08 4.2492785e-04 -4.4201151e-06
 122 1.3352597e+03 4.2712338e-01 1.2240626e-03 -1.1038294e+01 7.6832673e-08 4.2074366e-04 -4.6176184e-06
 123 1.3448909e+03 4.2947631e-01 1.2458944e-03 -1.1199075e+01 7.6297659e-08 4.1661906e-04 -4.8129585e-06
 124 1.3545625e+03 4.3166398e-01 1.2679260e-03 -1.1356852e+01 7.5767390e-08 4.1254885e-04 -5.0014671e-06
 125 1.3642653e+03 4.3367613e-01 1.2901460e-03 -1.1511919e+01 7.5241820e-08 4.0852792e-04 -5.1784791e-06
 126 1.3740047e+03 4.3548768e-01 1.3125432e-03 -1.1664495e+01 7.4720923e-08 4.0455087e-04 -5.3393275e-06
 127 1.3837716e+03 4.3708838e-01 1.3351071e-03 -1.1814725e+01 7.4204709e-08 4.0061266e-04 -5.4793512e-06
 128 1.3935638e+03 4.3845313e-01 1.3578276e-03 -1.1962901e+01 7.3693134e-08 3.9670799e-04 -5.5938873e-06
 129 1.4033870e+03 4.3957173e-01 1.3806952e-03 -1.2109243e+01 7.3186181e-08 3.9283168e-04 -5.6782758e-06
 130 1.4132318e+03 4.4041908e-01 1.4037011e-03 -1.2253895e+01 7.2683834e-08 3.8897853e-04 -5.7278583e-06
 131 1.4230891e+03 4.4098843e-01 1.4268374e-03 -1.2397034e+01 7.2186062e-08 3.8514446e-04 -5.7392499e-06
 132 1.4329725e+03 4.4128694e-01 1.4500972e-03 -1.2538296e+01 7.1692834e-08 3.8133004e-04 -5.7141596e-06
 133 1.4428661e+03 4.4131036e-01 1.4734742e-03 -1.2677274e+01 7.1204110e-08 3.7753705e-04 -5.6555689e-06
 134 1.4527764e+03 4.4108418e-01 1.4969634e-03 -1.2813416e+01 7.0719863e-08 3.7376717e-04 -5.5664568e-06
 135 1.4626949e+03 4.4059673e-01 1.5205607e-03 -1.2946462e+01 7.0240021e-08 3.7002202e-04 -5.4498003e-06
 136 1.4726280e+03 4.3986608e-01 1.5442633e-03 -1.3075783e+01 6.9764574e-08 3.6630342e-04 -5.3085780e-06
 137 1.4825672e+03 4.3889544e-01 1.5680693e-03 -1.3200975e+01 6.9293467e-08 3.6261309e-04 -5.1457659e-06
 138 1.4925115e+03 4.3770285e-01 1.5919780e-03 -1.3321704e+01 6.8826655e-08 3.5895263e-04 -4.9643373e-06
 139 1.5024526e+03 4.3629154e-01 1.6159900e-03 -1.3437566e+01 6.8364127e-08 3.5532394e-04 -4.7672683e-06
 140 1.5124041e+03 4.3467215e-01 1.6401069e-03 -1.3548153e+01 6.7905821e-08 3.5172855e-04 -4.5575295e-06
 141 1.5223503e+03 4.3287016e-01 1.6643315e-03 -1.3653134e+01 6.7451701e-08 3.4816825e-04 -4.3380935e-06
 142 1.5322900e+03 4.3088138e-01 1.6886678e-03 -1.3752030e+01 6.7001731e-08 3.4464475e-04 -4.1119313e-06
 143 1.5422298e+03 4.2872385e-01 1.7131207e-03 -1.3844582e+01 6.6555874e-08 3.4115982e-04 -3.8820133e-06
 144 1.5521536e+03 4.2641566e-01 1.7376965e-03 -1.3930385e+01 6.6114087e-08 3.3771506e-04 -3.6513073e-06
 145 1.5620680e+03 4.2396002e-01 1.7624022e-03 -1.4008959e+01 6.5676332e-08 3.3431224e-04 -3.4227821e-06
